Loss Function,Noise Level,Epoch,Loss,Train Accuracy,Test Accuracy
CrossEntropy,0.2,1,1.6675779173136367,0.46756,0.6611
CrossEntropy,0.2,2,1.5084423915199612,0.5493,0.7273
CrossEntropy,0.2,3,1.3527257960775625,0.61798,0.7613
CrossEntropy,0.2,4,1.250952649299446,0.65624,0.7643
CrossEntropy,0.2,5,1.1470958787157102,0.68424,0.7751
CrossEntropy,0.2,6,1.0190666945998932,0.71472,0.7447
CrossEntropy,0.2,7,0.8493368994549412,0.75246,0.7273
CrossEntropy,0.2,8,0.6313042724528886,0.80568,0.7077
CrossEntropy,0.2,9,0.4297152011062178,0.8619,0.6981
CrossEntropy,0.2,10,0.301002813955707,0.90068,0.6729
CrossEntropy,0.2,11,0.22686038391135843,0.92518,0.6733
CrossEntropy,0.2,12,0.18150264945100336,0.9392,0.6673
CrossEntropy,0.2,13,0.14857030848560432,0.9506,0.6726
CrossEntropy,0.2,14,0.13977233086572127,0.95414,0.6749
CrossEntropy,0.2,15,0.12235015665021394,0.95998,0.6799
CrossEntropy,0.2,16,0.11295160871056263,0.96356,0.6709
CrossEntropy,0.2,17,0.12573557043128916,0.95912,0.6672
CrossEntropy,0.2,18,0.10584597525608433,0.96584,0.6655
CrossEntropy,0.2,19,0.10041219789934966,0.96672,0.6865
CrossEntropy,0.2,20,0.09932823290529154,0.96884,0.6737
CrossEntropy,0.2,21,0.0861957777062874,0.97188,0.6727
CrossEntropy,0.2,22,0.09736985164930297,0.96798,0.6795
CrossEntropy,0.2,23,0.07742876694787798,0.97516,0.6684
CrossEntropy,0.2,24,0.0870006902291037,0.97184,0.6771
CrossEntropy,0.2,25,0.08371618125454315,0.97304,0.678
CrossEntropy,0.2,26,0.07997979230516593,0.97374,0.6636
CrossEntropy,0.2,27,0.08214801239550037,0.97388,0.6694
CrossEntropy,0.2,28,0.0638944254443764,0.97886,0.6659
CrossEntropy,0.2,29,0.0772875583542468,0.9754,0.6622
CrossEntropy,0.2,30,0.077648115830253,0.97542,0.6677
CrossEntropy,0.2,31,0.0706303562978497,0.97684,0.6699
CrossEntropy,0.2,32,0.06279573071500301,0.97952,0.6716
CrossEntropy,0.2,33,0.057976358610650765,0.98112,0.6606
CrossEntropy,0.2,34,0.07024162500748968,0.97726,0.6662
CrossEntropy,0.2,35,0.06748653803963947,0.97816,0.6677
CrossEntropy,0.2,36,0.056335150548245026,0.98178,0.6764
CrossEntropy,0.2,37,0.06377875217643883,0.97976,0.6731
CrossEntropy,0.2,38,0.06891306258304536,0.9793,0.6647
CrossEntropy,0.2,39,0.05749407256810504,0.98168,0.6774
CrossEntropy,0.2,40,0.05223417963804034,0.98364,0.6537
CrossEntropy,0.2,41,0.05438834612491205,0.98258,0.6617
CrossEntropy,0.2,42,0.05099739901045018,0.98394,0.6723
CrossEntropy,0.2,43,0.049294949987965166,0.98472,0.664
CrossEntropy,0.2,44,0.05290887823514164,0.98338,0.6748
CrossEntropy,0.2,45,0.06267952260411228,0.98022,0.6712
CrossEntropy,0.2,46,0.04622384661759781,0.98582,0.6808
CrossEntropy,0.2,47,0.04997261943813066,0.98448,0.6796
CrossEntropy,0.2,48,0.051419587760015636,0.98344,0.6778
CrossEntropy,0.2,49,0.03958686099678297,0.98732,0.6751
CrossEntropy,0.2,50,0.04513918445415824,0.98534,0.6647
FocalLoss,0.2,1,1.2409558627001769,0.45152,0.5849
FocalLoss,0.2,2,1.1102857836676985,0.52682,0.6667
FocalLoss,0.2,3,0.9908951476711751,0.59496,0.734
FocalLoss,0.2,4,0.9130003754135287,0.63282,0.7448
FocalLoss,0.2,5,0.8375587262156065,0.65752,0.7593
FocalLoss,0.2,6,0.7378025717290161,0.68014,0.7371
FocalLoss,0.2,7,0.6107118352294882,0.71064,0.7223
FocalLoss,0.2,8,0.4340528040133474,0.7604,0.6768
FocalLoss,0.2,9,0.26778220040414036,0.82836,0.661
FocalLoss,0.2,10,0.18178030762754743,0.8695,0.6686
FocalLoss,0.2,11,0.12744578755343966,0.90444,0.6568
FocalLoss,0.2,12,0.10710865854168944,0.91804,0.6688
FocalLoss,0.2,13,0.0871470344474401,0.93034,0.6601
FocalLoss,0.2,14,0.08620907981758533,0.93218,0.6682
FocalLoss,0.2,15,0.08901954601373514,0.9305,0.6744
FocalLoss,0.2,16,0.06791945829835085,0.94324,0.666
FocalLoss,0.2,17,0.07069837860048503,0.94254,0.6583
FocalLoss,0.2,18,0.07704480787467621,0.9392,0.6589
FocalLoss,0.2,19,0.0623164090930539,0.94846,0.669
FocalLoss,0.2,20,0.05096456394447466,0.95724,0.6727
FocalLoss,0.2,21,0.06640617063035593,0.94666,0.6739
FocalLoss,0.2,22,0.05833541903682911,0.95288,0.6615
FocalLoss,0.2,23,0.05491606332599888,0.95486,0.6719
