epoch,train_loss,train_acc,test_acc
1,6.1281315526183775,0.35122,0.5395
2,5.099599925839171,0.46172,0.6459
3,4.64132432305083,0.50944,0.6448
4,4.374368976573555,0.5384,0.6987
5,4.143602014804373,0.56204,0.6469
6,3.9344903948355694,0.58374,0.7513
7,3.771386391046096,0.60106,0.7441
8,3.6398167537183177,0.61566,0.7513
9,3.5095168875188243,0.6284,0.746
10,3.3989637871177827,0.64106,0.7651
11,3.272765286114751,0.65356,0.766
12,3.1588408728035127,0.6656,0.7682
13,3.0877892885889326,0.67336,0.744
14,3.0164182660531025,0.68088,0.7711
15,2.9334889638180637,0.68926,0.7755
