epoch,train_loss,train_acc,test_acc
1,1.3999032165322984,0.30976,0.4985
2,1.1560072661662588,0.39458,0.5829
3,1.020249908980058,0.43162,0.5525
4,0.9042699622864626,0.47348,0.5952
5,0.7826500218741748,0.5163,0.5169
6,0.6355068616721095,0.57866,0.5181
7,0.47492755554160293,0.65906,0.5223
8,0.32551204154686053,0.74796,0.5089
9,0.20656340523641936,0.82894,0.5059
10,0.13108681252568352,0.88846,0.4666
11,0.08843785528169602,0.92382,0.4827
12,0.07645437942475689,0.93102,0.4961
13,0.07634805426077575,0.93364,0.4745
14,0.1219668701215058,0.89608,0.451
15,0.11737783853800929,0.90104,0.4902
