epoch,train_loss,train_acc,test_acc
1,0.03359602027743751,0.43738,0.5866
2,0.019251432801995958,0.53368,0.6346
3,0.014039889871313865,0.57642,0.6728
4,0.010980271014422938,0.60818,0.6769
5,0.008755263953222608,0.63022,0.6771
6,0.006741174330402698,0.66444,0.6545
7,0.0056519747975434425,0.68072,0.6848
8,0.0044399308544412555,0.7067,0.677
9,0.003302718515089732,0.74826,0.6918
10,0.002525484937181392,0.78174,0.6531
11,0.0020239030032380657,0.81056,0.6483
12,0.002024171081590181,0.80544,0.6533
13,0.0016774658223005887,0.82398,0.6545
14,0.0011244378449414305,0.87106,0.6655
15,0.0009309076338802103,0.89434,0.648
