epoch,train_loss,train_acc,test_acc
1,0.04304319882423294,0.31784,0.4895
2,0.027389051915355483,0.37968,0.5134
3,0.021147269936164424,0.41342,0.5967
4,0.016645297194279884,0.43864,0.57
5,0.013529767096992962,0.4582,0.5692
6,0.01087955715923513,0.47968,0.5446
7,0.008893346140750361,0.50408,0.6147
8,0.006829538696198439,0.5432,0.5468
9,0.005502039157994547,0.58444,0.5462
10,0.004355388833685037,0.62784,0.5326
11,0.0035536994703817275,0.67392,0.5199
12,0.0027081969577809604,0.72788,0.5309
13,0.002047826445124549,0.78156,0.4881
14,0.0016760973958298564,0.81636,0.4807
15,0.0014083232411078882,0.8348,0.469
