epoch,train_loss,train_acc,test_acc
1,0.029361183935662314,0.39902,0.4987
2,0.017190884489908208,0.47788,0.5367
3,0.01267938220122715,0.51684,0.5408
4,0.009660905638082447,0.54356,0.6018
5,0.007706800941377878,0.56062,0.5688
6,0.0060490820122103455,0.58722,0.6324
7,0.004540700542654994,0.60926,0.6185
8,0.0036477526692597537,0.6339,0.6191
9,0.0029487167170261772,0.65018,0.6418
10,0.0022241425075644286,0.68362,0.6015
11,0.002467036735485023,0.66144,0.6202
12,0.001685093834102914,0.71074,0.5807
13,0.0015463718306392012,0.71106,0.6047
14,0.0010538255321859782,0.75542,0.6263
15,0.0007204897404762403,0.79966,0.6619
