epoch,train_loss,train_acc,test_acc
1,0.034324881668221584,0.33786,0.4467
2,0.020803114921994964,0.41046,0.537
3,0.015672165472820705,0.4415,0.5443
4,0.012397415351540762,0.46118,0.5727
5,0.009900881806673596,0.48214,0.5202
6,0.007974869272272502,0.4998,0.5914
7,0.006654911425097713,0.51542,0.5546
8,0.004840010425494034,0.5457,0.6145
9,0.0037332782296140734,0.57294,0.5622
10,0.003132944441951659,0.59226,0.5787
11,0.0032962938908449547,0.58056,0.5392
12,0.0036814224642549393,0.56294,0.4882
13,0.002075136037500651,0.63236,0.6022
14,0.001280183441478436,0.70668,0.6019
15,0.0009545305056606742,0.74926,0.5867
